Title,Publisher,Published,Downloads,Pages,Category
Ethics of the Abyss,Denys Spirin,26-Apr,0,113,Philosophy
The Black Flame: A Philosophy of Acausality,Denys Spirin,26-Mar,0,172,Philosophy
21 levels of Self-Deception: THIRD EDITION,Tom Wallace,26-Mar,3,206,Philosophy
Conatus: THIRD EDITION,Tom Wallace,26-Mar,2,235,Philosophy
Conatus: REVISED EDITION,Tom Wallace,26-Feb,3,297,Philosophy
Treatise on Ontology,Denys Spirin,25-Jul,27,105,Philosophy
Life In A Nutshell,Michael McNaught,25-Jul,41,55,Philosophy
Synchronic Theistic Monism,"Michael Perel, M.D.",25-Jun,6,190,Philosophy
"Ontology of Differentiation: Being, Consciousness, and the Game",Denys Spirin,25-Jun,18,380,Philosophy
Truth HQ,Tom Wallace,25-Jun,6,95,Philosophy
DYNAMISM THE KINGDOM OF HEAVEN,GEORGE MARTIN WILLIAMS,25-Jun,24,197,Philosophy
Tales From a Distant Shore: THIRD EDITION,Tom Wallace,24-Dec,26,90,Philosophy
Selected Articles: Metaphysics and Theology,John Roland Stahl,24-Jun,57,178,Philosophy
One Planet Makeover,John Roland Stahl,24-Jun,24,477,Philosophy
Veritas,Lost Herald,24-Mar,22,253,Philosophy
Stylish Transient: A Novel,DJ Rankin,24-Mar,32,218,Philosophy
Rainbow Rock,Fractalosopher,23-Jul,77,127,Philosophy
Good Christian Philosophy To Live By,Adam J. Capps,23-May,144,101,Philosophy
"Star dust, we are all connected.",Dr Martinho Correia,23-May,77,137,Philosophy
The Mind This Enigma,Dr Martinho Correia,23-May,93,155,Philosophy
Musings of a Very Strange Man,Hunter Vaughan,23-Apr,60,44,Philosophy
Rediscovering Transcendence,Martin Euser,23-Apr,144,123,Philosophy
Sci-Fi Film Fiesta The Lost Last Volume 12: Speculations & Ruminations,Chris Christopoulos,23-Mar,17,73,Philosophy
My philosophical ideas 2,Antonio Pinto Renedo,23-Mar,29,83,Philosophy
Valid Views of God?,L.M. Leteane,23-Jan,92,72,Philosophy
A Infinidade,Adolfo F. Vaz,22-Sep,11,561,Philosophy
Twenty-One Levels of Self-Deception: Revised Edition,Tom Wallace,22-Jul,130,175,Philosophy
The Dance of Life,Havelock Ellis,21-Jul,287,382,Philosophy
Patriarchs and Prophets,Ellen G. White,21-May,152,521,Philosophy
Resonance with the Self,Martin Euser,21-May,820,124,Philosophy
Acquaintance with natural numberology,Wang Mo,21-Jan,229,35,Philosophy
100 Diamond Quotes,AiR-Atman in Ravi,20-Nov,383,132,Philosophy
A Pictorial Key to the Tarot,A.E. Waite,20-Oct,336,171,Philosophy
But We Pray,AiR-Atman in Ravi,20-Jul,348,168,Philosophy
FEAR,AiR-Atman in Ravi,20-Apr,867,246,Philosophy
The End Of Philosophy - Tales Of Reality,Jan Strepanov,20-Mar,1166,202,Philosophy
Human Being,Selvam Sivakumar,20-Mar,559,50,Philosophy
Atheden,Wendell Charles NeSmith,20-Feb,119,118,Philosophy
Unavoidable: a Hard Truth about Alien Encounters,John Erik Ege,20-Jan,277,106,Philosophy
Why Bad Things Can’t Happen To Good People!,AiR-Atman in Ravi,19-Nov,1045,117,Philosophy
"The Ultimate Goal of Life – MEN – Moksha, Enlightenment, Nirvana",AiR-Atman in Ravi,19-Nov,343,166,Philosophy
The arrival of the extraterrestrials,Antonio Pinto Renedo,19-Oct,213,32,Philosophy
The True Meaning of Yoga,AiR-Atman in Ravi,19-Oct,541,96,Philosophy
How God Created the Universe,W A Dunkley,19-Sep,368,58,Philosophy
